rotten_tomatoes_link,movie_title,movie_info,critics_consensus,tomatometer_rating,audience_rating,critic_name,review_content
m/down_to_you,Down to You,"College coeds in New York City, Al (Freddie Prinze Jr.), the son of a celebrity chef (Henry Winkler), and Imogen (Julia Stiles), a talented artist, become smitten the second they lay eyes on one another at a bar. However, the road to happiness is not a smooth one. Outside forces, including a predatory porn star (Selma Blair) who wants to lure Al into her bed, threaten to pull apart the young lovers before their romance has a chance to really flourish.","Down to You is ruined by a bland, by-the-numbers plot and an awful script.",3.0,49.0,Erik Childress,The race for the year's worst film has begun.
m/rings_2017,Rings,A young woman (Matilda Lutz) becomes worried about her boyfriend (Alex Roe) when he explores a dark subculture surrounding a mysterious videotape said to kill the watcher seven days after he has viewed it. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a movie within the movie that no one has ever seen before.,"Rings may offer ardent fans of the franchise a few threadbare thrills, but for everyone else, it may feel like an endless loop of muddled mythology and rehashed plot points.",8.0,23.0,Mark Dujsik,"If you were wondering how a movie series about a killer VHS tape would transition from the analog age to the digital age, keep wondering."
m/hitman_agent_47,Hitman: Agent 47,"Genetically engineered from conception to be the perfect killing machine, he's the culmination of decades of research, endowed with unprecedented strength, speed, stamina and intelligence. Known only as Agent 47 (Rupert Friend), his latest target is a corporation that plans to unlock the secret of his past to create an army of killers even more powerful than him. With help from a young woman, the elite assassin confronts revelations about his own origins in an epic battle with his deadliest foe.","Hitman: Agent 47 fails to clear the low bar set by its predecessor, forsaking thrilling action in favor of a sleekly hollow mélange of dull violence and product placement.",9.0,40.0,Katie Walsh,"It's so coldblooded, it's practically reptilian."
m/white_noise,White Noise,"Architect Jonathan Rivers (Michael Keaton) is happily married to author Anna (Chandra West), but tragedy strikes when she is killed in an accident. Deep in grief, Jonathan hears from Raymond Price (Ian McNeice), who claims that he has intercepted messages from Anna via electronic voice phenomena. Jonathan eventually comes to believe Raymond's claims, but, as he is drawn further into investigating the phenomenon, a sinister supernatural presence invades his life.","While there are some built-in scares, the movie is muddled and unsatisfying.",7.0,31.0,Dustin Putman,An utterly abysmal wannabe-horror film. Never even remotely frighteningthe trailer is worlds above this lame finished product in terms of a visceral response.
m/1110236-wash,The Wash,"""The Wash"" is an action-comedy starring Snoop Dogg and Dr. Dre. As mismatched roommates working at a car wash, they come together to rescue their boss (George Wallace) from a couple of first-time kidnappers. If they don't settle their differences and get Mr. Washington back, the good times at ""The Wash"" will soon come to an end.","Sloppily-made, amateurish, and scarce on laughs, The Wash can't compare to Richard Pryor's 1976 Car Wash.",8.0,64.0,Ed Gonzalez,"This ain't no Friday; in fact, you'd be wasting a perfectly good high on it."
m/problem_child,Problem Child,"Ben (John Ritter) is a good-hearted guy who's always wanted a son of his own, but so far he and his wife have had no success. The couple adopt Junior (Michael Oliver), a redheaded hellion who quickly makes their lives miserable. Disaster follows Junior wherever he goes, from camping trips that require emergency-room visits to birthday parties that turn into Grand Guignol affairs. When Ben's incensed family tells him to get rid of the boy, he starts to wonder if they might be right.","Mean-spirited and hopelessly short on comic invention, Problem Child is a particularly unpleasant comedy, one that's loaded with manic scenery chewing and juvenile pranks.",0.0,41.0,Bob Ross,Child abuse
m/prom_night,Prom Night,"When a deranged high-school teacher kills the family of the girl, Donna, that he loves, in a disturbed attempt to force her into a relationship with him, the man is caught and sent to prison. However years later, at her high school prom, Donna is about to come face to face with the murderer once more. Will Donna and her friends escape the psychopath?","A dim and predictable remake of an already dull slasher film, this Prom Night fails to be memorable.",7.0,38.0,Nomad,"Prom Night is poorly written, ill conceived, and executed with the excitement of a children's cough medicine commercial."
m/halloween_the_curse_of_michael_myers,Halloween - The Curse of Michael Myers (Halloween 6),"This installment marks the return of the seemingly indestructible masked murderer Michael Myers (George P. Wilbur), who is targeting Tommy Doyle (Paul Stephen Rudd), a young man tied into the legacy of the killer and his connections with the Strode family. As the supernatural elements of Michael's macabre abilities are explored, his longtime adversary, Dr. Sam Loomis (Donald Pleasence), is also back in yet another attempt to stop the psychopath's brutal rampages.","Halloween: The Curse of Michael Myers trades the simple, brutal effectiveness of the original for convoluted mysticism, with disastrously dull results.",9.0,37.0,Liz Braun,"There isn't a floorboard that doesn't creak, a person who doesn't hesitate to go down the basement, a killing that isn't telegraphed by scary music and laughable attempts at tension."
m/jaws_the_revenge,Jaws: The Revenge,"The family of widow Ellen Brody (Lorraine Gary) has long been plagued by shark attacks, and this unfortunate association continues when her son is the victim of a massive great white. In mourning, Ellen goes to visit her other son, Michael (Lance Guest), in the Bahamas, where she meets the charming Hoagie Newcombe (Michael Caine). As Ellen and Hoagie begin a relationship, a huge shark appears off the coast of the island, and Ellen's trouble with the great whites begins again.","Illogical, tension-free, and filled with cut-rate special effects, Jaws 4 - The Revenge is a sorry chapter in a once-proud franchise.",0.0,15.0,Roger Ebert,"The shark models have so little movement that at times they seem to be supporting themselves on boats, instead of attacking them. Up until the ludicrous final sequence of the movie, the scariest creature in the film is an eel."
m/happily_never_after,Happily N'ever After,"Fairy Tale Land becomes a realm of happy endings gone wrong when Cinderella's wicked stepmother, Frieda (Sigourney Weaver), joins forces with legendary villains to tip the balance between good and evil. With events spinning wildly out of control, Cinderella (Sarah Michelle Gellar), or Ella for short, must lead a resistance movement to defeat Frieda and restore order to the kingdom.","Happily N'Ever After has none of the moxy, edge, or postmodern wit of the other fairy-tales-gone-haywire CG movie it so blatantly rips off.",4.0,34.0,Ed Gonzalez,Happily N'Ever After exists to reward anyone who's delighted in the destruction the Shrek franchise has waged against our fairy-tale memories.
